id,long,lat,alt,dist
0,-87.61729000000001,41.87839,0.0,0.0
1,-87.61759,41.87839,0.0,24.837501018796686
2,-87.6188,41.87836,0.0,125.07097049154589
3,-87.61922,41.87834,0.0,159.91453652361471
4,-87.62045,41.87833,0.0,261.75444898994215
5,-87.62071,41.87834,0.0,283.30900227830443
6,-87.62091,41.87833,0.0,299.9046441269769
7,-87.62319,41.87829000000001,0.0,488.7222816978875
8,-87.62421,41.87829000000001,0.0,573.1699173073379
9,-87.62426,41.87954,0.0,712.2252045817522
10,-87.62444,41.87954,0.0,727.1274370156674
11,-87.62613,41.87949,0.0,867.1533150427472
12,-87.62628,41.87949,0.0,879.5718517869101
13,-87.6277,41.87943,0.0,997.3232131645726
14,-87.62935,41.87943,0.0,1133.927245616603
15,-87.63199,41.87939,0.0,1352.5390172691832
16,-87.63229,41.87937,0.0,1377.4754979339502
17,-87.63377,41.87935,0.0,1500.0254898054811
18,-87.63798,41.87934,0.0,1848.5749856354496
19,-87.63819,41.87933,0.0,1865.996501214653
20,-87.63857,41.87933,0.0,1897.45687307211
21,-87.63961,41.8793,0.0,1983.6235596660904
22,-87.64258,41.87926,0.0,2229.551619435524
23,-87.64497,41.87925,0.0,2427.4241568837065
24,-87.64526,41.87924000000001,0.0,2451.4591552242587
25,-87.64558,41.87924000000001,0.0,2477.9521372579234
26,-87.64562,41.87923,0.0,2481.445456332252
27,-87.64634,41.87923,0.0,2541.0546752355285
28,-87.66661,41.87889,0.0,4219.6500301241595
29,-87.66679,41.87888,0.0,4234.593842060944
30,-87.66913,41.87885,0.0,4428.353627804776
31,-87.66923,41.87875,0.0,4442.2167747751555
32,-87.66939,41.87868,0.0,4457.580938754361
33,-87.66942,41.87866,0.0,4460.914808156793
34,-87.66962,41.87848,0.0,4486.891347190691
35,-87.66984,41.87826,0.0,4517.390343716862
36,-87.67221,41.87627,0.0,4813.137002627365
37,-87.67263,41.87593,0.0,4864.503606026524
38,-87.67264,41.87592,0.0,4865.889942966907
39,-87.67306,41.87558,0.0,4917.2566752853145
40,-87.67335000000001,41.87532,0.0,4954.837796224028
41,-87.67365,41.87507,0.0,4992.116914012341
42,-87.67405,41.87472,0.0,5043.219378174551
43,-87.67485,41.87408,0.0,5140.439873291253
44,-87.67592,41.87317,0.0,5274.930500425119
45,-87.67719,41.87213,0.0,5431.234003571301
46,-87.67784,41.87155,0.0,5515.23375191199
47,-87.67787,41.87152,0.0,5519.3928646251825
48,-87.67797,41.87145,0.0,5530.757042817156
49,-87.67987,41.86987,0.0,5766.589306799405
50,-87.68115,41.86878,0.0,5927.5972973798025
51,-87.68333,41.86697,0.0,6197.953691546543
52,-87.68421,41.86628,0.0,6303.768140039389
53,-87.68436,41.86613,0.0,6324.56432212178
54,-87.68465,41.86588,0.0,6361.299224507586
55,-87.68499,41.86557,0.0,6405.806528034655
56,-87.68553,41.8651,0.0,6474.5877303545585
57,-87.68588,41.86485,0.0,6514.747329779412
58,-87.68603,41.86476,0.0,6530.698563509987
59,-87.68941,41.86354,0.0,6841.738816804868
60,-87.69121,41.86292,0.0,7005.969844166286
61,-87.69326,41.86219,0.0,7194.142869675241
62,-87.69446,41.86178,0.0,7303.476906248849
63,-87.69499,41.86158,0.0,7352.680537631214
64,-87.69552,41.8614,0.0,7400.9199408245695
65,-87.69752,41.86068,0.0,7584.882950091098
66,-87.70068,41.85959,0.0,7873.283788056219
67,-87.70090000000002,41.85956,0.0,7891.806183100559
68,-87.70422,41.85839,0.0,8195.983792891377
69,-87.70542,41.85795,0.0,8306.755629997464
70,-87.70615,41.8577,0.0,8373.297814984977
71,-87.70659,41.85753,0.0,8414.349184669338
72,-87.7096,41.85649,0.0,8689.152550406983
73,-87.71258,41.85543,0.0,8962.658711736616
74,-87.71292,41.8553,0.0,8994.311570572077
75,-87.7135,41.85511000000001,0.0,9046.788853798264
76,-87.71379,41.855,0.0,9073.742318848204
77,-87.71405,41.85492,0.0,9097.041093210184
78,-87.71552,41.85441,0.0,9231.349539446772
79,-87.7171,41.85382,0.0,9377.734277871768
80,-87.71987,41.85284,0.0,9631.721525817578
81,-87.72042,41.85267,0.0,9681.041566038077
82,-87.72099,41.85245,0.0,9734.21343010936
83,-87.72306,41.85175,0.0,9922.50404418677
84,-87.72372,41.8515,0.0,9983.831635333896
85,-87.72385,41.85139,0.0,10000.127224815662
86,-87.72474,41.8511,0.0,10080.587582223638
87,-87.73548000000001,41.84729,0.0,11065.904552239885
88,-87.7369,41.84676,0.0,11197.464560705454
89,-87.7401,41.84566,0.0,11489.391226767722
90,-87.74024000000001,41.84559,0.0,11503.357984064669
91,-87.74043,41.84548,0.0,11523.290585926714
92,-87.74056,41.84538,0.0,11538.769700435732
93,-87.74064,41.84529,0.0,11550.772402288354
94,-87.74114,41.84463,0.0,11635.041625967942
95,-87.74121,41.84457,0.0,11643.880963891983
96,-87.74138,41.84444,0.0,11664.061668515486
97,-87.74167,41.84428,0.0,11693.954818452848
98,-87.74191,41.84418,0.0,11716.733802432253
99,-87.74203,41.84414,0.0,11727.623837484458
100,-87.74254,41.84405,0.0,11771.039382381685
101,-87.74282,41.84404,0.0,11794.260143101057
102,-87.74328,41.84401,0.0,11832.510522767832
103,-87.74383,41.84399,0.0,11878.124682249432
104,-87.74389,41.84398,0.0,11883.217722350224
105,-87.74394,41.84398,0.0,11887.359534065346
106,-87.74407,41.84397,0.0,11898.185501654563
107,-87.74419,41.84397,0.0,11908.12585132492
108,-87.7445,41.84395,0.0,11933.901210207832
109,-87.74522,41.84384,0.0,11994.78467567231
110,-87.74596,41.84362,0.0,12060.784725462963
111,-87.74726000000001,41.84314,0.0,12180.974023678007
112,-87.74849,41.84271,0.0,12293.525273830837
113,-87.74889,41.84258,0.0,12329.676309180839
114,-87.76091,41.83833,0.0,13431.874680627832
115,-87.76112000000002,41.83825,0.0,13451.414195352252
116,-87.76235,41.83783,0.0,13563.504660735694
117,-87.76657,41.83633,0.0,13950.860413211161
118,-87.76843,41.83570000000001,0.0,14120.131004967934
119,-87.7725,41.83425,0.0,14493.887183971121
120,-87.77325000000002,41.834,0.0,14561.95879650956
121,-87.77565,41.83315,0.0,14782.118461719905
122,-87.77620000000002,41.83298,0.0,14831.451451811978
123,-87.77813,41.8323,0.0,15008.329918157495
124,-87.77934,41.83189000000001,0.0,15118.459820835662
125,-87.78174,41.83103,0.0,15339.1050582657
126,-87.78296000000002,41.83061,0.0,15450.453300142899
127,-87.78317,41.83053,0.0,15469.994683315846
128,-87.80265,41.82374,0.0,17251.92685761681
129,-87.80263,41.82159,0.0,17491.00169412564
130,-87.80257,41.82026,0.0,17638.974500472385
131,-87.80249,41.81908,0.0,17770.35188354716
132,-87.80246000000001,41.81791,0.0,17900.473699084956
133,-87.80263,41.81758,0.0,17939.77946694259
134,-87.80267,41.81752,0.0,17947.229268200634
135,-87.80267,41.81751,0.0,17948.34121746743
136,-87.80273,41.81743,0.0,17958.532129796564
137,-87.80286,41.81729000000001,0.0,17977.463641192175
138,-87.80306000000002,41.81712,0.0,18002.6038874852
139,-87.80329,41.81697,0.0,18027.93162015828
140,-87.80357,41.81683,0.0,18055.87377922121
141,-87.8042,41.81656,0.0,18116.09957083746
142,-87.80689,41.81548,0.0,18369.31509069969
143,-87.8076,41.81518,0.0,18436.95339383045
144,-87.80781,41.8151,0.0,18456.498510785575
145,-87.8104,41.814040000000006,0.0,18701.375570295393
146,-87.81104,41.8138,0.0,18760.750948087112
147,-87.81115,41.81377,0.0,18770.458395050347
148,-87.81129,41.81372,0.0,18783.324240429563
149,-87.81158,41.81365,0.0,18808.58710769448
150,-87.81211,41.81354,0.0,18854.182393663512
151,-87.81253,41.81348,0.0,18889.623798756213
152,-87.81313,41.81343,0.0,18939.659093144757
153,-87.81379,41.81341,0.0,18994.402303497176
154,-87.81503,41.8134,0.0,19097.17431948265
155,-87.81521,41.81339,0.0,19112.133351522258
156,-87.81712,41.81335,0.0,19270.48870490847
157,-87.81727,41.81334,0.0,19282.96971873063
158,-87.81737,41.81334,0.0,19291.257307818836
159,-87.81751,41.81332,0.0,19303.07114153985
160,-87.81762,41.81331,0.0,19312.255056655573
161,-87.81772,41.81329,0.0,19320.835845858513
162,-87.81805000000001,41.8132,0.0,19349.958403281686
163,-87.81828,41.8131,0.0,19372.026124859894
