id,long,lat,alt,dist
0,-87.61717,41.87839,0.0,0.0
1,-87.61743,41.87839,0.0,21.525834216371628
2,-87.61758,41.87839,0.0,33.94458472636298
3,-87.6188,41.87836,0.0,135.00551621889753
4,-87.61922,41.87836,0.0,169.77803396980374
5,-87.61983,41.87834,0.0,220.32992531592538
6,-87.62036,41.87833,0.0,264.22363485349206
7,-87.62037,41.87833,0.0,265.05155233053426
8,-87.62045,41.87833,0.0,271.6748921551074
9,-87.6207,41.87833,0.0,292.3728291035092
10,-87.62091,41.87833,0.0,309.7590961402156
11,-87.6222,41.87832,0.0,416.5662474573512
12,-87.62298,41.87831,0.0,481.1533984086218
13,-87.62376,41.8783,0.0,545.7405594646716
14,-87.62403,41.8783,0.0,568.0943418632824
15,-87.62421,41.8783,0.0,582.9968634623597
16,-87.6244,41.8783,0.0,598.727302927137
17,-87.62453,41.8783,0.0,609.4902351930075
18,-87.62546,41.87827,0.0,686.5588433454838
19,-87.62609,41.87824,0.0,738.8242697721748
20,-87.62768,41.87819,0.0,870.5807406145217
21,-87.62833,41.87818,0.0,924.4069854042949
22,-87.62875,41.87817,0.0,959.1973780782431
23,-87.62931,41.87816000000001,0.0,1005.5742087352735
24,-87.62979,41.87815,0.0,1045.3299099064373
25,-87.63077,41.87814,0.0,1126.4736767506765
26,-87.63167000000001,41.87814,0.0,1200.9864713025386
27,-87.63183,41.87813,0.0,1214.2797787795807
28,-87.6323,41.87813,0.0,1253.1920220234385
29,-87.63276,41.87813,0.0,1291.2763451980297
30,-87.63377,41.87811,0.0,1374.9258526635826
31,-87.63426,41.87811,0.0,1415.4939487409188
32,-87.63489,41.87812,0.0,1467.6647765098658
33,-87.63523,41.87811,0.0,1495.836018935292
34,-87.63667,41.87808,0.0,1615.1032343368267
35,-87.63669,41.87808,0.0,1616.7590757708883
36,-87.63672,41.87808,0.0,1619.242837920804
37,-87.63673,41.87808,0.0,1620.0707586378348
38,-87.63675,41.87808,0.0,1621.7266000718964
39,-87.63681,41.87808,0.0,1626.6941243717279
40,-87.63685,41.87808,0.0,1630.0058072386744
41,-87.63687000000002,41.87808,0.0,1631.6616486739124
42,-87.63692,41.87808,0.0,1635.801252256713
43,-87.63737,41.87807,0.0,1673.0742772575
44,-87.63779,41.87807,0.0,1707.846952802182
45,-87.63821,41.87807,0.0,1742.6196283480406
46,-87.63837,41.87806,0.0,1755.9129502852525
47,-87.6386,41.87806,0.0,1774.9551327304698
48,-87.63909,41.87805,0.0,1815.538499807704
49,-87.63958,41.87804,0.0,1856.1218732306293
50,-87.64018,41.87804,0.0,1905.797147329586
51,-87.64037,41.87803,0.0,1921.566903483308
52,-87.64106,41.87803,0.0,1978.693477634927
53,-87.64256,41.87801,0.0,2102.9016123626875
54,-87.64329,41.878,0.0,2163.350123624092
55,-87.64403,41.878,0.0,2224.6163333601758
56,-87.64525,41.87798,0.0,2325.6472823044724
57,-87.64537,41.87798,0.0,2335.5823464515556
58,-87.64544,41.87798,0.0,2341.3778005370605
59,-87.64546,41.87798,0.0,2343.033644562163
60,-87.64547,41.87798,0.0,2343.861566574714
61,-87.64553,41.87798,0.0,2348.8290986476677
62,-87.64554,41.87798,0.0,2349.6570206602187
63,-87.64569,41.87798,0.0,2362.075850844955
64,-87.64571000000001,41.87797,0.0,2364.070406193005
65,-87.64574,41.87797,0.0,2366.5541726181377
66,-87.64579000000002,41.87797,0.0,2370.693783328653
67,-87.64580000000001,41.87797,0.0,2371.5217054695795
68,-87.64594,41.87797,0.0,2383.112615454315
69,-87.64603,41.87797,0.0,2390.563914730889
70,-87.64604,41.87797,0.0,2391.391836872992
71,-87.64619,41.87796,0.0,2403.8603510878947
72,-87.64723,41.87795,0.0,2489.9714536257284
73,-87.64815,41.87793,0.0,2566.172785039325
74,-87.64841,41.87793,0.0,2587.698774200328
75,-87.6491,41.87792,0.0,2644.8362630273236
76,-87.64957,41.87791,0.0,2683.7645213180626
77,-87.65074,41.87789,0.0,2780.657043082669
78,-87.6519,41.87787,0.0,2876.721891831227
79,-87.6525,41.87786,0.0,2926.40974550389
80,-87.65392,41.87785,0.0,3043.980159577246
81,-87.65456,41.87783,0.0,3097.0139330253705
82,-87.6552,41.87782,0.0,3150.012736318525
83,-87.65678,41.87779,0.0,3280.8672994119725
84,-87.65702,41.87778,0.0,3300.7685767354506
85,-87.65945,41.87774,0.0,3502.003478049498
86,-87.66189,41.87771,0.0,3704.044795613455
87,-87.66432,41.87766,0.0,3905.3075800279275
88,-87.6666,41.87762,0.0,4094.127196084553
89,-87.66675,41.87761,0.0,4106.595778041853
90,-87.66918,41.87758,0.0,4307.809692806499
91,-87.66966,41.87757,0.0,4347.565754508258
92,-87.66998,41.87756,0.0,4374.082755137139
93,-87.67040000000001,41.87757,0.0,4408.873479555135
94,-87.67071,41.87756,0.0,4434.563304493048
95,-87.67161,41.8768,0.0,4547.230734590801
96,-87.67221,41.87627,0.0,4624.3078663614015
97,-87.67263,41.87593,0.0,4675.67446976056
98,-87.67264,41.87592,0.0,4677.060806700943
99,-87.67306,41.87558,0.0,4728.427539019351
100,-87.67327,41.87539,0.0,4755.789206521384
101,-87.67335000000001,41.87532,0.0,4766.009668459087
102,-87.67365,41.87507,0.0,4803.2887862474
103,-87.67405,41.87472,0.0,4854.39125040961
104,-87.67485,41.87408,0.0,4951.611745526312
105,-87.67577,41.8733,0.0,5067.045345860848
106,-87.67592,41.87317,0.0,5086.103339284127
107,-87.67627,41.87289,0.0,5128.637729096874
108,-87.67648,41.87272,0.0,5154.321637623963
109,-87.67694,41.87234,0.0,5211.208160414328
110,-87.67719,41.87213,0.0,5242.413167343129
111,-87.67784,41.87155,0.0,5326.412915683818
112,-87.67787,41.87152,0.0,5330.57202839701
113,-87.67797,41.87145,0.0,5341.936206588984
114,-87.67896,41.87063,0.0,5464.54683161661
115,-87.67937,41.87028,0.0,5516.191281004063
116,-87.67987,41.86987,0.0,5577.774573210747
117,-87.68085,41.86904,0.0,5700.667368420182
118,-87.68115,41.86878,0.0,5738.784450575809
119,-87.68152,41.86847,0.0,5784.902481589133
120,-87.6829,41.86732,0.0,5956.39511840582
121,-87.68333,41.86697,0.0,6009.144184482708
122,-87.68367,41.8667,0.0,6050.302664906483
123,-87.68381,41.86659000000001,0.0,6067.155112249135
124,-87.68421,41.86628,0.0,6114.960283281747
125,-87.68436,41.86613,0.0,6135.7564653641375
126,-87.68463,41.8659,0.0,6169.72639014797
127,-87.68499,41.86557,0.0,6217.003905558206
128,-87.6854,41.86521,0.0,6269.493127354604
129,-87.68572,41.86495,0.0,6308.71068221349
130,-87.68588,41.86485,0.0,6326.007831976238
131,-87.68603,41.86476,0.0,6341.959065706813
132,-87.68665,41.86453,0.0,6399.31811163425
133,-87.68764,41.86417,0.0,6490.550909916536
134,-87.68807,41.86402,0.0,6529.872071793876
135,-87.68941,41.86354,0.0,6653.007096779224
136,-87.69026,41.86325,0.0,6730.431320506298
137,-87.69086,41.86304,0.0,6785.331678045423
138,-87.69121,41.86292,0.0,6817.23970924878
139,-87.69199,41.86264,0.0,6888.945030744822
140,-87.69272,41.86238,0.0,6955.955364547003
141,-87.69326,41.86219,0.0,7005.413627413742
142,-87.69368,41.86205,0.0,7043.5198345041845
143,-87.69446,41.86178,0.0,7114.750181288859
144,-87.69499,41.86158,0.0,7163.953812671223
145,-87.69552,41.8614,0.0,7212.193215864579
146,-87.69574,41.86132,0.0,7232.46793659646
147,-87.69653,41.86104,0.0,7304.921610969936
148,-87.69752,41.86068,0.0,7396.15843033437
149,-87.70068,41.85959,0.0,7684.559268299491
150,-87.70085,41.85948,0.0,7703.209173733481
151,-87.70154,41.85924,0.0,7766.276887849295
152,-87.70162,41.85921,0.0,7773.694619279185
153,-87.70216,41.85901,0.0,7823.639981178814
154,-87.70289,41.85875000000001,0.0,7890.653411009814
155,-87.70336,41.85858,0.0,7933.924806138225
156,-87.70421,41.85827,0.0,8012.3062606138
157,-87.70542,41.85786,0.0,8122.399130296423
158,-87.70609,41.85762,0.0,8183.971365844051
159,-87.70659,41.85743,0.0,8230.458845299429
160,-87.7078,41.85701,0.0,8341.01801097674
161,-87.70902,41.85658,0.0,8452.800098964417
162,-87.70949,41.8564,0.0,8496.569857770499
163,-87.71023,41.85612,0.0,8565.311869550706
164,-87.71133,41.85576,0.0,8664.821362509352
165,-87.71253,41.85535,0.0,8774.164481496911
166,-87.71374,41.85492,0.0,8885.200874438337
167,-87.71439,41.85468,0.0,8945.286912155556
168,-87.71506,41.85445,0.0,9006.387923953582
169,-87.71551,41.854290000000006,0.0,9047.686810579462
170,-87.71627,41.85403,0.0,9116.954162394146
171,-87.71647,41.85395,0.0,9135.756273449608
172,-87.71748,41.85358,0.0,9228.97804127359
173,-87.71805,41.85339,0.0,9280.699425936724
174,-87.71869,41.85318,0.0,9338.62229712323
175,-87.71909,41.85304,0.0,9375.22724011545
176,-87.71987,41.85276,0.0,9446.941551768297
177,-87.72099,41.85237,0.0,9549.341728390593
178,-87.72139,41.85221000000001,0.0,9586.946726245982
179,-87.72223,41.85192,0.0,9663.630039244597
180,-87.72235,41.85187,0.0,9675.01849185703
181,-87.72303,41.85164,0.0,9736.874910771216
182,-87.72345,41.85151,0.0,9774.545832946807
183,-87.72385,41.85139,0.0,9810.262557332548
184,-87.72474,41.8511,0.0,9890.722914740523
185,-87.72794,41.84995,0.0,10185.006257637839
186,-87.72955,41.84939,0.0,10332.182561780934
187,-87.73116,41.84881,0.0,10480.314556038671
188,-87.73222,41.84844,0.0,10577.275992514846
189,-87.7333,41.84806,0.0,10676.21026617122
190,-87.73438,41.84768,0.0,10775.145020298038
191,-87.73548000000001,41.84729,0.0,10876.05354628035
192,-87.7369,41.84676,0.0,11007.613554745918
193,-87.73891,41.84607,0.0,11190.935854055999
194,-87.73972000000002,41.84579,0.0,11264.903022232027
195,-87.7399,41.84573,0.0,11281.237734458678
196,-87.7401,41.84566,0.0,11299.541943860864
197,-87.74022,41.8456,0.0,11311.51344946938
198,-87.74024000000001,41.84559,0.0,11313.50870115781
199,-87.74043,41.84548,0.0,11333.441303019856
200,-87.74051,41.84542,0.0,11342.844775314852
201,-87.74056,41.84538,0.0,11348.922335810617
202,-87.74064,41.84529,0.0,11360.925037663239
203,-87.74106,41.84473,0.0,11432.254120509826
204,-87.74114,41.84463,0.0,11445.198537960976
205,-87.74121,41.84457,0.0,11454.037875885017
206,-87.74138,41.84444,0.0,11474.21858050852
207,-87.74167,41.84428,0.0,11504.111730445882
208,-87.74191,41.84418,0.0,11526.890714425286
209,-87.74203,41.84414,0.0,11537.780749477492
210,-87.74224000000001,41.8441,0.0,11555.735937977008
211,-87.74247,41.84406,0.0,11575.300528201751
212,-87.74254,41.84405,0.0,11581.204711188951
